id;start_date;end_date;language
1;2020-02-17T18:15:00;2020-02-17T16:05:15;SPANISH
2;2020-02-16T23:05:11;2020-02-17T18:09:36;SPANISH
3;2020-02-17T14:00:30;2020-02-17T00:34:39;FRENCH
4;2020-02-17T05:18:01;2020-02-17T16:49:27;FRENCH
5;2020-02-17T14:48:19;2020-02-17T19:35:18;FRENCH
6;2020-02-17T08:40:40;2020-02-17T20:48:54;FRENCH
7;2020-02-17T10:26:00;2020-02-17T04:16:51;FRENCH
8;2020-02-17T09:22:13;2020-02-17T19:38:21;SPANISH
9;2020-02-17T08:03:22;2020-02-17T04:44:45;SPANISH
10;2020-02-17T16:15:26;2020-02-17T02:49:56;SPANISH
